id,dataset,model,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha_win,alpha_loss,decay,beta,alpha_win_transformed,alpha_loss_transformed,decay_transformed,beta_transformed,alpha_win_ffx,alpha_loss_ffx,decay_ffx,beta_ffx,alpha_win_transformed_ffx,alpha_loss_transformed_ffx,decay_transformed_ffx,beta_transformed_ffx
115,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-115.100678073331,-107.330566573296,-111.330566573296,-118.738131522608,0.713883439911456,1.16640600657986,-0.729502391106304,1.67560952870359,-1.58788232168305,0.762494769732724,0.325303934110621,0.842322284020179,0.204357918161868,1.05486891857445,-0.747927275223849,0.856782883161571,-1.56553364541969,0.741708768074286,0.321273105167114,0.701988068098834,0.20897646407922
117,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-150.742945448476,-143.401481327097,-147.401481327097,-154.80904627641,0.629270409541691,0.207480834850086,-0.9632016939685,2.04516578812102,-1.38697264562857,0.551684929153024,0.276237621003,0.88545823562512,0.249830486368565,0.29560277436563,-1.00109883714674,1.50703752399867,-1.35399531910592,0.573367228057278,0.268725432197389,0.818621752371067,0.258206579397747
118,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-318.287270135824,-313.6519507835,-317.6519507835,-325.059515732812,0.055905065581015,-1.32285396657445,-1.10681761251357,-0.0990658068799795,-0.959370380175606,0.210343860271001,0.24846466038695,0.475253783371119,0.383134038836086,-0.766629292267746,-0.591960682403981,-0.166567917521641,-0.664149575759519,0.317208709038657,0.356185109569957,0.458454033604272,0.514711064400367
12,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-193.510045322873,-185.732958949237,-189.732958949237,-197.140523898549,0.493310226800568,0.676559323651067,-4.25426261843276,0.526048701683016,-1.09376934916442,0.662970341654445,0.0140046454873753,0.628561063565241,0.33495156182975,0.812173117961679,-3.25640821694047,0.400046012400523,-1.11459789466159,0.692572388755854,0.0370972995200587,0.598698714838517,0.328047161897432
123,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-82.5900716800256,-77.8100221001799,-81.8100221001799,-89.2175870494923,0.772695066356052,0.672519370158047,-0.146124007345863,-1.46754894185022,-2.42761994156781,0.662067058264011,0.463533861258814,0.187315449253471,0.0882466149362045,0.888211591766954,-0.311809041661,-1.02872215554175,-2.21395324445493,0.708520969641806,0.422673234002543,0.263331916431045,0.109267831115236
126,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-199.299559208803,-191.128170607582,-195.128170607582,-202.535735556894,0.44997342832785,0.206061416199839,-2.2854097760126,3.0594281203848,-1.12618740899625,0.55133384053169,0.0923385480093617,0.955187823650553,0.324267200877664,0.289353630523894,-1.99012376961132,2.78734207271402,-1.09667274468663,0.571837883479458,0.120243769618156,0.941987967572371,0.333980475371179
128,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-304.120314517218,-298.78194782003,-302.78194782003,-310.189512769343,0.110306950356182,-0.380856959656634,1.04245200777847,-0.290173961783643,-0.919461830829874,0.40592022564344,0.739322844999562,0.427961279021171,0.398733569467237,0.00335147028056538,0.746381767337759,-0.299524334919126,-0.74802752211016,0.500837866784198,0.678389793440495,0.425673767734998,0.47329920483763
13,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-76.9909387626358,-70.8344362222455,-74.8344362222455,-82.2420011715579,0.810343895464732,-0.0592361005600172,-1.11202180681777,2.20728033455378,-1.86014393296329,0.485195303672301,0.247494153949657,0.900901384109122,0.155650225557439,0.0645305992787998,-1.11729944875539,1.49174169253998,-1.83399992553149,0.516127053821702,0.24651255210431,0.816339546562708,0.159773207001318
134,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-265.07090324292,-257.526433025464,-261.526433025464,-268.933997974776,0.250607949873501,0.52132267178502,-2.64303522536215,2.86604156551699,-0.76231409055106,0.627456998908823,0.0664195802643789,0.946141991739645,0.466585455765174,0.666567780644503,-1.7323291299086,1.94970957059731,-0.713320800235886,0.660734202059372,0.150289901594991,0.875414969238911,0.490014253151668
136,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-75.0216778944251,-68.426389373744,-72.426389373744,-79.8339543230564,0.827187425931546,-0.368579267004334,-2.79118304044877,-0.207170655021131,-1.70304845189353,0.408884365485437,0.0578024924489316,0.448391788440078,0.182127470100401,-0.2132390027515,-2.46271198595819,-0.192814319302096,-1.71934403307585,0.446891338503667,0.0785139028513145,0.451945207304432,0.179183647915602
137,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-68.6143439180852,-61.8181284151732,-65.8181284151732,-73.2256933644856,0.832834549537596,-0.384191062830071,-0.562220882860512,2.98081573713984,-2.34438070253676,0.405116462874324,0.363033746441571,0.951699881361828,0.0959065784435386,-0.0539304333556442,-0.528164623259585,0.534738841239713,-2.1746110429342,0.486520658575685,0.370945062411962,0.630587691353124,0.113652350959733
